Line;Source-DE;Target-DE;Generated-Output;Accuracy;Chrf;Source-EN;Base-DE
16683;konstant;Konstante;konstant;0;0.8641975308641975;A constant is case-sensitive by default.;Wie der Name schon ausdrückt, kann sich der Wert einer Konstanten zur Laufzeit eines Skripts nicht ändern (eine Ausnahme bilden die Magischen Konstanten, die aber tatsächlich keine Konstanten sind.) Eine Konstante unterscheidet zwischen Groß - und KLeinschreinbung (case-sensitive).
6415;Tabelle;Tabellen;Tabelle;0;0.9859154929577465;Selecting Themes for Sheets;Auswahl von Themen für Tabellen
28732;Dialogfeld;Dialogfeld;Dialogfeld;1;1.0;The “Curve Properties” dialog box appears, which allows us to browse all curve values, including Min/Max/Mean, Amplitude, Average and Std.;Das Dialogfeld Curve Properties wird angezeigt, sodass Sie alle Kurvenwerte, einschließlich Min/Max/Mean, Amplitude, Average und Std durchsuchen können.
2902;Kreissegment;Kreissegment;Kreissegment;1;1.0;To draw a circle segment, hold down Shift while you drag.;Um ein Kreissegment zu zeichnen, halten Sie beim Ziehen die Umschalttaste gedrückt.
180;Launchpad-Diensten;Launchpad-Diensten;Launchpad-Diensten;1;1.0;Firefox Launchpad integration adds quick search for Launchpad services;Die Launchpad-Integration für Firefox bietet eine Schnellsuche in Launchpad-Diensten
32386;Elementübergange;Elementübergange;Elementübergange;1;1.0;When the {1}Spread Changes{2} button is pushed, all modified settings are resolved with neighboring settings to ensure proper element transitions.;Wenn die Schaltfläche {1}Änderungen verbreiten{2} betätigt wird, werden alle geänderten Einstellungen mit benachbarten Einstellungen aufgelöst, um ordnungsgemäße Elementübergange sicherzustellen.
26469;Farbzuordnung;Farbzuordnung;Farbzuordnung;1;1.0;Color Mapping (Not Available in AutoCAD LT);Farbzuordnung (in AutoCAD LT nicht verfügbar)
32394;Objekt;Objekt;Objekte;0;0.8695652173913043;A uniform mesh distribution can be applied to an entity by selecting it, and clicking the {1}Use Uniform{2} button.;Eine gleichförmige Netzverteilung kann auf ein Objekt angewendet werden, indem Sie es auswählen und auf die Schaltfläche {1}Gleichförmig verwenden{2} klicken.
28542;SP1;Sp1;Sp1;1;1.0;The SP1 includes Service packs for Autodesk Factory Design Utilities for Inventor 2014 , Autodesk Factory Design Utilities for AutoCAD 2014 and Autodesk Factory Design Utilities for Navisworks 2014.;SP1 beinhaltet Service Packs für Autodesk Factory Design Utilities für Inventor 2014, Autodesk Factory Design Utilities für AutoCAD 2014 und Autodesk Factory Design Utilities für Navisworks 2014.
9246;PRODUCTNAME;productname;productname;1;1.0;20555;Website;website;website;1;1.0;For XenApp and XenDesktop, users (clients) must install a small client plug-in that is provided (free) by Citrix in order to access the web site where applications have been published.;Für XenApp und XenDesktop müssen die Benutzer (Clients) ein kleines, von Citrix kostenlos bereitgestelltes Client-Plug-in installieren, um auf die Website, auf der die Anwendungen veröffentlicht wurden, zugreifen zu können.
20911;32-Bit-;32-Bit-;32-Bit-;1;1.0;The 32-Bit and 64-Bit versions of Autodesk® Simulation CFD are delivered in separate installation packages.;Die 32-Bit- und 64-Bit-Versionen von Autodesk® Simulation CFD werden in separaten Installationspaketen geliefert.
18349;Mausrad;Mausrad;Mausrad;1;1.0;To {1}zoom{2} the view, use the scroll wheel or hold the {3}Ctrl{4} key and {5}Alt{6} key and drag with the {7}middle{8} mouse button.;Um die Ansicht zu {1}zoomen{2}, verwenden Sie das Mausrad oder halten die {3}STRG{4}-Taste und die {5}ALT{6}-Taste gedrückt und ziehen mit der {7}mittleren{8} Maustaste.
13402;Information;Informationen;Informationen;1;1.0;How can I do this?;Wie kann ich auf Informationen aus dem Request-Header zugreifen?
14761;Funktion;Funktion;Funktion;1;1.0;ldap_explode_dn() function is used to split the DN returned by ldap_get_dn() and breaks it up into its component parts.;Die ldap_explode_dn() Funktion wird benutzt um einen von ldap_get_dn() gelieferten DN aufzuteilen und in dessen Bestandteile zu zerlegen.
32312;Designmodells;Designmodells;Designmodells;1;1.0;In many cases, these entities are caused by poor geometry creation practices, a lack of design intent, or are the result of multiple format conversions throughout the life of the design model.;In vielen Fällen sind diese Elemente das Ergebnis mangelhafter Geometrie, eines fehlenden Konstruktionskonzepts oder mehrerer Formatkonvertierungen während der Lebensdauer des Designmodells.
26896;Arbeitsabläufe;Arbeitsabläufe;Arbeitsabläufe;1;1.0;The course will focus on workflows required to conceptualize, layout, and optimize manufacturing projects and provide hands on experience with 2D-3D interoperability, factory assets, and project visualization.;Dieser Kurs konzentriert sich auf Arbeitsabläufe, die für Konzeption, Layout und Optimierung von Fertigungsprojekten erforderlich sind, und ermöglicht praktische Erfahrungen mit 2D/3D-Interoperabilität, Projektvisualisierung und Factory-Objekten.
14413;Bild;Bild;Bilder;0;0.689655172413793;imagecreatefromgif() returns an image identifier representing the image obtained from the given filename.;ImageCreateFromGIF() gibt den Bezeichner auf ein Bild zurück, der das aus der angegebenen Datei eingelesene Bild darstellt.
30512;Ansichtsfaktor;Ansichtsfaktor;Ansichtsfaktor;1;1.0;This division is effectively the view factor between the external faces.;Diese Verteilung ist der Ansichtsfaktor zwischen den externen Oberflächen.
260;Zo'la;Zo'la;Zo'la;1;1.0;Do'SSi Zo'la;Do'SSi Zo'la
26652;Autodesk;Autodesk;Autodesk;1;1.0;You will also become familiar with a new cloud service for structural engineering called Autodesk® Robot™ Structural Analysis 360 and you will learn key value points of this new service.;Sie lernen Autodesk® Robot™ Structural Analysis 360™, einen neuen Cloud-Dienst für den Hochbau, sowie wichtige Punkte dieses neuen Diensts kennen.
16635;Unterschied;Unterschied;Unterschied;1;1.0;Notice how this is different from a script written in other languages like Perl or C - - instead of writing a program with lots of commands to output HTML, you write an HTML script with some embedded code to do something (in this case, output some text).;Beachten Sie den Unterschied zu einem Skript, welches in anderen Sprachen wie Perl oder C geschrieben wurde - - anstatt ein Programm mit vielen Anweisungen zur Ausgabe von HTML zu schreiben, schreibt man einen HTML-Code mit einigen eingebetteten Anweisungen, um etwas auszuführen (z.B. um - wie oben - Text auszugeben).
24283;knicken;Knicke;knicken;0;0.7246376811594204;Adds perfectly sharp creases to selected TSplines edges.;Fügt ausgewählten TSpline-Kanten scharfe Knicke hinzu.
655;SQLite-Datenbank-Browser;SQLite-Datenbank-Browser;SQLite-Datenbank-Browser;1;1.0;SQLite database browser;SQLite-Datenbank-Browser
4266;Dokument;Dokument;Dokument;1;1.0;To jump to an item in the document, double-click the item in the Navigator.;Um zu einem Element im Dokument zu springen, doppelklicken Sie auf das Element im Navigator.
22883;Information;Informationen;Informationen;1;1.0;If there is blue balloon in front of the product, please read information in it before you click Next on the installation page.;Wenn vor dem Produkt eine blaue Blase angezeigt wird, sollten Sie die Informationen darin lesen, bevor Sie auf der Installationsseite auf Weiter klicken.
16;Zeitraum;Zeitraum;Zeitraum;1;1.0;Invalid Timerange;Ungültiger Zeitraum
21979;Map3D-Installationsverzeichnis;Map3D-Installationsverzeichnis;Map3D-Installationsverzeichnis;1;1.0;Locate AdDownloaderCore.dll in the Map3D install directory, e.g. {1}C:Program FilesAutodeskAutoCAD Map 3D 2012{2}AdDownloaderCore.dll .;Suchen Sie AdDownloaderCore.dll im Map3D-Installationsverzeichnis, z. B. {1}C:ProgrammeAutodeskAutoCAD Map 3D 2012{2} AdDownloaderCore.dll.
22645;EdgeSight;EdgeSight;EdgeSight;1;1.0;This Service is a part of Citrix EdgeSight and any need to run EdgeSight alongside Inventor 2014 requires contact with Citrix Support for potential workarounds.;Dieser Dienst ist ein Teil von Citrix EdgeSight und wenn EdgeSight mit Inventor 2014 parallel betrieben werden muss, ist die Kontaktaufnahme mit Citrix erforderlich, um eine Problemlösung zu prüfen.
3396;Vorlagenname;Vorlagenname;Vorlagenname;1;1.0;from the sub-menu;Vorlagenname
12412;Aktivierungsreihenfolge;Aktivierungsreihenfolge;Aktivierungsreihenfolge;1;1.0;Tab Order Tab Order;Aktivierungsreihenfolge
31260;kernen;Kern;Kern;1;1.0;Place or delete imported core and cavity;Platzieren oder Löschen von importiertem Kern und importierter Kavität
32081;Kreisverkehrskomponente;Kreisverkehrskomponente;Kreisverkehrskomponente;1;1.0;What is deleted depends upon which roundabout component you click on.;Die gelöschten Elemente hängen von der Kreisverkehrskomponente ab, auf die Sie klicken.
4275;Grafik;Grafiken;Grafik;0;0.967741935483871;icon, and then click an item category - for example, &quot; Graphics &quot; .;und dann auf eine Elementkategorie - z. B. &quot; Grafiken &quot; .
2731;Anordnung;Anordnung;Anordnung;1;1.0;toolbar and click:;Impress) Symbol in der Symbolleiste Zeichnen / Anordnung:
2854;Linie;Linien;Linie;0;0.9803921568627452;The shape within the lines will be filled with the current area colour.;Die Fläche zwischen den Linien wird mit der aktuellen Flächenfarbe gefüllt.
19244;Systèmes;Systèmes;Systämes;0;0.875;Dassault Systèmes SolidWorks 2013;Dassault Systèmes SolidWorks 2013
21598;Ergebnis;Ergebnis;Ergebnisse;0;0.8163265306122448;Use this result if you have set a minimum Reynolds number.;Verwenden Sie dieses Ergebnis, wenn Sie eine minimale Reynoldszahl festgelegt haben.
14954;Verbindungskennung;Verbindungskennung;Verbindungskennung;1;1.0;If the link identifier isn 't specified, the last opened link is assumed.;Wenn keine Verbindungskennung angegeben ist, wird die zuletzt geöffnete Verbindung angenommen.
19607;Modell;Modell;Modell;1;1.0;Define simplified envelopes in model;Definieren vereinfachter Hüllen im Modell
17862;Programm;programme;programme;1;1.0;{1}Windows 7:{2} Click Start menu {3} All Programs {4} Autodesk {5}<Product Name>{6} Reset Settings to Default.;{1}Windows 7:{2} Klicken Sie auf Start {3} Alle Programme {4} Autodesk {5}<Produktname> {6} Einstellungen auf Vorgabe zurücksetzen.
4765;Größe;Größe;Größe;1;1.0;Select the relative size of the mathematical operators in a formula in proportion to the base size.;Bestimmen Sie hier die Größe für mathematische Operatoren relativ zur Basisgröße.
13021;Auswahl;Auswahl;Auswahl;1;1.0;If you chose in step 2 to set up a sub-form based on manual selection of fields, you can select the joined fields on this wizard page.;Wenn Sie sich in Schritt 2 entschließen, ein Subformular einzurichten, das auf einer manuellen Auswahl von Feldern basiert, können Sie die verknüpften Felder auf dieser Seite des Assistenten auswählen.
15300;Typ;Typ;Typ;1;1.0;As of PHP 4.2.0 the result_array and rownumber have been swapped.;Das Zielarray result_array muss immer übergeben werden, kann aber einen beliebigen Typ haben - es wird ohnehin zu einem Array gemacht.
12848;Präsentations-Assistent;Präsentations-Assistent;Präsentations-Assistent;1;1.0;Presentation Wizard Page 2;Präsentations-Assistent Seite 2
8510;ODBC-Datenquelle;ODBC-Datenquelle;ODBC-Datenquelle;1;1.0;Name of the ODBC data source on your system;Name der ODBC-Datenquelle auf Ihrem System
10847;Beleuchtung;Beleuchtung;Beleuchtung;1;1.0;Illumination;Beleuchtung
21604;Achse;Achse;Achse;1;1.0;In the {1}Axis{2} drop-down list, select the axis to rotate the part around.;Klicken Sie in der Dropdown-Liste auf {1}Achse{2}, und wählen Sie die Achse aus, um die das Formteil gedreht werden soll.
15366;Funktion;Funktion;Funktion;1;1.0;See openssl_csr_new() for more information about configargs.;Seien Sie gewarnt und verwenden Sie diese Funktion auf eigenes Risiko.
5133;Typus;Typen;Typen;1;1.0;REM Prefix definition for variable types:;REM Prefix-Definitionen für die verschiedenen Typen von Variablen
30748;Konfiguration;Konfiguration;Konfiguration;1;1.0;Configuration 4:{1}Pole-Mounted{2};Konfiguration 4: {1}An Mast angebracht{2}
29694;Projekt;Projekt;Projekt;1;1.0;Create a family for section heads to include more than one symbol in a project.;Erstellen Sie eine Familie für Schnittbeschriftungen, um mehrere Symbole in ein Projekt aufzunehmen.
12907;Installation;installation;installation;1;1.0;This page is only displayed if a previous installation of 31781;Situation;situation;situation;1;1.0;In real PCBs the situation is never as bad as in the Y direction.;Bei echten Leiterplatten wäre die Situation niemals so schlecht wie hier für die Y-Richtung.
12144;Formular;Formular;Formular;1;1.0;Moves the current form to the insert row.;Zeigt die Einfügezeile im Formular an.
2068;Eintrag;Eintrag;Eintrag;1;1.0;You get an empty entry below the selected one, which has the same type.;Unterhalb des ausgewählten Eintrags wird ein leerer Eintrag desselben Typs eingefügt.
6345;Berechnung;Berechnungen;Berechnung;0;0.9803921568627452;Calculations involving localised dates as strings inside the formula return an error.;Berechnungen, welche ein Datum in lokalem Format enthalten, liefern einen Fehler.
20474;Achse;achsen;achsen;1;1.0;Select this option to display the tensor result in each element in the form of an ellipsoid, where the directions of the three ellipsoid axes represent the tensor eigenvectors (principal directions), and the length of the axes represent the relative magnitudes of the tensor eigenvalues.;Wählen Sie diese Option, um das Tensorergebnis zu jedem Element in Form einer Ellipse anzuzeigen, wobei die Richtungen der drei Ellipseachsen den Tensoreigenvektoren (Hauptrichtungen) und die Länge der Achsen der relativen Größe der Tensoreigenwerten entsprechen.
5374;Dateinummer;Dateinummer;Dateinummer;1;1.0;Seek (FileNumber);Seek (Dateinummer)
29453;360{2}-Mobil-App;360{2}-Mobil-App;360{2}-Mobil-App;1;1.0;This option lets you join a group and use the Web Viewer or {1}Autodesk InfraWorks 360{2}Mobile App without having to use {3}InfraWorks{4}.;Bei dieser Option erfolgt der Beitritt zu einer Gruppe über den Web-Viewer oder die {1}Autodesk InfraWorks 360{2}-Mobil-App, ohne dass {3}InfraWorks{4} erforderlich ist.
1862;Element;element;Elemente;0;0.8860759493670886;The context menu offers many commands to format the selected element.;Das Kontextmenü bietet verschiedenen Möglichkeiten, das gewählte Element zu formatieren.
18466;Kippfenster;Kippfenster;Kippfenster;1;1.0;The top sash doesn't move, while the bottom two sashes swing open like awning windows, but in opposite directions.;Der obere Fensterrahmen ist fest, während die unteren beiden Fensterrahmen wie Kippfenster geöffnet werden können, jedoch in entgegengesetzte Richtungen.
18833;Registerkarte;Registerkarte;Registerkarte;1;1.0;The appearance properties are grouped in one asset of the material, and are managed on the Appearance tab.;Die Darstellungseigenschaften werden in einem entsprechenden Materialobjekt zusammengefasst und auf der Registerkarte Darstellung verwaltet.
21475;Vereinfachen;vereinfachen;vereinfachen;1;1.0;On the ribbon, click Simplify tab {1} Simplify panel {2} Include Components{3}.;Klicken Sie in der Multifunktionsleiste auf die Registerkarte Vereinfachen {1} Gruppe Vereinfachen {2}Komponenten einschließen{3}.
5893;Prozedur;Prozedur;Prozedur;1;1.0;Is not required, but can be entered anywhere within a procedure to end the program execution.;Ist niemals erforderlich, kann aber an einer beliebigen Stelle innerhalb einer Prozedur angegeben werden, um den Programmablauf zu stoppen.
15590;Header;header;header;1;1.0;pg_lo_read_all() reads a large object and passes it straight through to the browser after sending all pending headers.;pg_lo_read_all() liest ein Large Object vollständig und übergibt es direkt an den Browser, nachdem alle entsprechenden Header gesendet wurden.
18098;8:{2;8:{2;8:{2;1;1.0;{1}Windows 8:{2} From the Windows Start screen, enter {3}printers{4} and click Control Panel.;{1}Windows 8:{2} Geben Sie auf der Windows-Startseite {3}Drucker{4} ein, und klicken Sie auf Systemsteuerung.
7313;Datenpiloten;Datenpiloten;Datenpiloten;1;1.0;DataPilot;Datenpiloten
22049;Komponente;Komponenten;Komponenten;1;1.0;and then I'll continue laying out parts, entering dimension values as I go.;und setzen Sie anschließend die Erstellung der Komponenten fort, indem Sie Bemaßungswerte eingeben.
20620;Zielansicht;Zielansicht;Zielansicht;1;1.0;Select object to specify destination folder/view or [Active/ModelSpace];Objekt zum Angeben des Zielordners / der Zielansicht oder [Aktiv/Modellbereich] wählen
2317;Position;Positionen;position;0;0.8536585365853657;You can add your own custom glue points to a shape and then attach connectors to the custom glue points.;Die Positionen der Standardklebepunkte hängen dabei von der spezifischen Form ab.
9018;Internetverbindungen;Internetverbindungen;Internetverbindungen;1;1.0;The Stored Web Connection Information dialogue box shows a list of web sites and user names that you entered previously.;Der Dialog für gespeicherte Internetverbindungen zeigt eine Liste der Web-Seiten und Nutzer-Namen, die Sie zuvor eingegeben haben.
32618;Schaltfläche;Schaltfläche;Schaltfläche;1;1.0;Automatic Convergence Assessment is enabled or disabled by clicking the Advanced button on the Solution controls dialog, and checking or unchecking the Automatic Convergence Assessment box.;Die automatische Konvergenzbeurteilung wird aktiviert oder deaktiviert, indem Sie im Dialogfeld "Lösungssteuerungen" auf die Schaltfläche "Erweitert" klicken und "Automatische Konvergenzbeurteilung" aktivieren oder deaktivieren.
29282;Autdodesk;Autdodesk;Autdodesk;1;1.0;Alternatively, you can publish the scenario to the public, meaning anyone who creates an Autdodesk 360 account and downloads the Autodesk InfraWorks 360 Mobile App.;Alternativ können Sie das Szenario für die Öffentlichkeit publizieren, d. h. für alle Personen, die ein Autdodesk 360-Konto erstellen und die Autodesk InfraWorks 360-Mobil-App herunterladen.
1156;Hinzufügen;hinzufügen;hinzufügen;1;1.0;Add;Hinzufügen
6681;enden;Ende;Ende;1;1.0;BETAINV(Number; Alpha; Beta; Start; End);BETAINV(Zahl; Alpha; Beta; Anfang; Ende)
29149;Stücklistenvergleichsmodus;Stücklistenvergleichsmodus;Stücklistenvergleichsmodus;1;1.0;As noted, you cannot change the Open item's revision once you are in BOM Compare mode.;Wie bereits angemerkt, können Sie die Revision des Offenen Artikels nicht mehr ändern, sobald Sie sich im Stücklistenvergleichsmodus befinden.
